"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Azerbaijan","AZE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2050000","144000","","46000","1281000","4697000","4827000","19229000","16531000","18423000","28180000","","","","","","","","",
"Burundi","BDI","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","57999.4738621959","17517.5704881745","40464.9148955399","7122.76078207913","25210.0840336134","75910.0077126513","203842.616971918","96014.1332804187","12356.8662987066","15831.3956364716","96093.2104141017","23121.6418567779","0","0","0","","","","","","","","","","","","620741.061846788","16637.7167506713","","186721.72342599","3244.48464118227","150910.175104958","19201.2399836905","4711.4863161821","","",
"Belgium","BEL","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","741532731.398081","983530497.262296","1038258096.93362","1048948518.07974","1077146472.27894","1997290657.25186","2023023359.04967","1934877742.41637","1905030685.13708","2895143844.68344","2822609814.36105","3348514804.09597","3404143477.30742","3336208270.60617","2759594690.66302","3591804626.30627","3847941186.50184","3520238785.68723","",
"Benin","BEN","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","34114.8220282739","219701.420109643","0","0","0","0","0","0","0","0","0","0","","385102.265851916","442031.074818481","1556059.39260587","508551.670590189","367497.984310127","656747.016581736","833197.318320153","1898611.63424539","2309713.9318913","1862464.53269165","1596399.48780717","1974369.88561571","2766815.88646436","2993875.58940601","2884026.97636177","1909819.8931126","2320997.52906345","5061757.24634271","2255115.88917816","17760.1357277421","596855.633847453","18048.5286831481","18903.712214278","17885.4602706352","",
"Burkina Faso","BFA","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4195286.70704066","15313.1845353206","167142.424179108","186098.637420212","514572.366929159","111157.311632724","284350.961863432","301631.746393056","301478.261592172","251135.512320017","233418.926707467","460677.376421699","439157.902118585","480694.396305926","467647.806298618","",
"Bangladesh","BGD","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4602195.48542063","7730578.20282122","5101004.81657682","5528115.65034146","4420433.71283552","5501180.32083266","3126595.32507284","3714009.00173635","5091128.13433083","2744867.84515153","5241859.55007921","7675990.79804312","21923483.7450398","8385816.87380035","17636698.544026","10470569.0137288","10816541.9353597","20488449.1467162","30127601.6388922","24374495.8521673","46541986.2416682","25938279.0255","41791531.8278829","47747802.8420873","",
"Bulgaria","BGR","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","","","","","9860817.7","11473845.8966672","23347047.843671","24433653.2516767","30520223.5453771","80611097.1732956","69439205.4960638","77561078.1707785","95185418.7623821","117239687.563586","114240000","140180000","184750000","197870000","229820000","185840000","183510000","178800000","208970000","258330000","",
"Bahrain","BHR","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","1000000","2400000","2500000","2900000","3100000","7300000","3400000","3500000","3700000","5700000","3900000","3900000","3700000","2600000","3200000","3700000","3200000","1200000","5100000","4600000","6400000","9600000","9100000","12200000","14200000","13200000","13656000","14600000","18500000","16087000","17670000","19680000","17890000","17480000","10570000","15272000","16753000","19200000","19514760.92","17658586.93","22875962.77","14190513.671","10285993.17","10261087.08","",
"Bosnia and Herzegovina","BIH","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8258726.11963854","9601090.11433874","10797196.7351314","5967649.54209525","5468247.41102707","4604166.89359272","9082194.35673652","7514459.63789364","6923384.87043434","9975386.65527583","7831871.70104501","8759802.10725274","8376030.03716454","13861325.4569146","",
"Belarus","BLR","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800000","1100000","800000","2700000","3800000","3200000","5500000","9100000","19500000","50500000","52500000","75200000","76000000","102700000","89200000","106800000","145100000","237300000","132700000","125700000","157100000","178700000","187100000","",
"Belize","BLZ","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","100000","200000","1250000","250000","200000","200000","250000","400000","300000","100000","58500","109000","400000","500000","100000","2483130.5","2920196.015","2192434.96000001","343911.662321733","229944.964261927","421590.460010285","390409.276562521","381894.164628997","863405.542064542","743250.807164869","1100349.46427134","1382149.28301152","1976691.48052993","2271626.48515551","2338069.77068586","4847919.58081479","4139216.68422352","2625094.43201328","3585358.78353965","7886378.99729147","7438447.6329301","",
"Bermuda","BMU","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4690000","4600186.29372087","6328373.96789077","9317683.23401921","8796579.65059918","9900275.14276331","10277577.505415","10932020.4824316","11763872.7304878","8594322.14684","8461475.48032981","8090866.7","6990153.589355","3880988.35842718","",
"Bolivia","BOL","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","1400000","1900000","2400000","1800000","2000000","3000000","3000000","3000000","3000000","2500000","2100000","3800000","3600000","3200000","3200000","3700000","3700000","3900000","4100000","4400000","4000000","5200000","5200000","4800000","5000000","5280000","5740000","7990000","9681000","11200000","14421000","16187000","17805000","18650000","19805000","20800500","42441212.0697189","50427298.1952335","68285439.4142988","83568649.6993847","99382292.8753314","93745643.0782737","81071369.8867118","76817706.7083165","",
"Brazil","BRA","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","223000000","263000000","170000000","211000000","36000000","38000000","29000000","31000000","26000000","17000000","30000000","34000000","41000000","48000000","70000000","54000000","53000000","55000000","121000000","239000000","529000000","797000000","887000000","1075000000","1283000000","1414582000","1244319000","1228789000","1227928000","1196933000","1404494000","1663677000","2259433000","2697171000","2512044100","3225748878.83","3747622856.32","4198155186.27","4566857589.46","5922655346.91","5250459024.08","5140803656.34","5402128503.78","5124101633.46","5246219107.55","",
"Barbados","BRB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","0","0","0","0","0","0","0","584444.737167434","742991.142546604","614000","907500","2096500","2572000","2050000","2200000","2150000","4700000","6400000","5400000","7700000","15450000","5500000","6550000","4000000","2700000","7250000","10150000","12950000","14650000","17800000","20650000","22200000","22600000","23700000","24300000","24600000","24950000","25014134.7321039","19056795.1191483","34399126.815","25952719.085","31817107.51","36771831.54","19151125.025","12675726.997","9472731.572","12725656.342","13883612.02636","17259500.78","13120862.415","","","","",
"Brunei Darussalam","BRN","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2121366.48731321","2355730.66739933","2698279.78788191","3380810.30399013","3657500.95169837","5544929.7272497","6640964.03876029","7252228.19292163","7578254.52987923","","","","","","13635732.6489677","37774081.5931151","17254031.091233","19706483.61412","18703446.2658263","",
"Bhutan","BTN","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4023.2409217245","93074.3233915041","126846.971458892","369573.584566049","167599.442821085","221228.143512795","65332.2277367291","39214.8974087932","665037.980504232","486417.029789409","355875.60138638","279474.154176111","304211.000205981","221116.831229535","",
